geoid,tract_name,borough,B19013_E001,B19013_M001
1400000US36005013000,"Census Tract 130, Bronx County, New York",Bronx,59595,26410
1400000US36005013100,"Census Tract 131, Bronx County, New York",Bronx,19760,7362
1400000US36005013200,"Census Tract 132, Bronx County, New York",Bronx,107563,21087
1400000US36005013300,"Census Tract 133, Bronx County, New York",Bronx,28560,14501
1400000US36005013500,"Census Tract 135, Bronx County, New York",Bronx,26125,12163
1400000US36005013800,"Census Tract 138, Bronx County, New York",Bronx,92567,39078
1400000US36005014100,"Census Tract 141, Bronx County, New York",Bronx,38816,8719
1400000US36005014300,"Census Tract 143, Bronx County, New York",Bronx,12367,4169
1400000US36005014400,"Census Tract 144, Bronx County, New York",Bronx,30288,16993
1400000US36005014500,"Census Tract 145, Bronx County, New York",Bronx,28104,11820
1400000US36005014701,"Census Tract 147.01, Bronx County, New York",Bronx,35277,31482
1400000US36005014702,"Census Tract 147.02, Bronx County, New York",Bronx,23825,16301
1400000US36005014900,"Census Tract 149, Bronx County, New York",Bronx,35982,9369
1400000US36005015100,"Census Tract 151, Bronx County, New York",Bronx,31298,13656
1400000US36005015200,"Census Tract 152, Bronx County, New York",Bronx,81875,12728
1400000US36005015300,"Census Tract 153, Bronx County, New York",Bronx,33028,12818
1400000US36005015500,"Census Tract 155, Bronx County, New York",Bronx,43913,13097
1400000US36005015700,"Census Tract 157, Bronx County, New York",Bronx,46504,11191
1400000US36005015800,"Census Tract 158, Bronx County, New York",Bronx,87656,22686
1400000US36005015900,"Census Tract 159, Bronx County, New York",Bronx,25686,5727
1400000US36005016000,"Census Tract 160, Bronx County, New York",Bronx,90221,27185
1400000US36005016100,"Census Tract 161, Bronx County, New York",Bronx,23210,7817
1400000US36005016200,"Census Tract 162, Bronx County, New York",Bronx,121645,31975
1400000US36005016300,"Census Tract 163, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005016400,"Census Tract 164, Bronx County, New York",Bronx,69057,15004
1400000US36005016500,"Census Tract 165, Bronx County, New York",Bronx,52446,41133
1400000US36005016600,"Census Tract 166, Bronx County, New York",Bronx,109519,11112
1400000US36005016700,"Census Tract 167, Bronx County, New York",Bronx,45363,9918
1400000US36005016900,"Census Tract 169, Bronx County, New York",Bronx,42168,18676
1400000US36005017100,"Census Tract 171, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005017300,"Census Tract 173, Bronx County, New York",Bronx,33269,30176
1400000US36005017500,"Census Tract 175, Bronx County, New York",Bronx,18474,16132
1400000US36005017701,"Census Tract 177.01, Bronx County, New York",Bronx,62126,12968
1400000US36005017702,"Census Tract 177.02, Bronx County, New York",Bronx,40125,13265
1400000US36005017901,"Census Tract 179.01, Bronx County, New York",Bronx,47778,11748
1400000US36005017902,"Census Tract 179.02, Bronx County, New York",Bronx,42870,6144
1400000US36005018101,"Census Tract 181.01, Bronx County, New York",Bronx,55664,19213
1400000US36005018102,"Census Tract 181.02, Bronx County, New York",Bronx,31618,20231
1400000US36005018301,"Census Tract 183.01, Bronx County, New York",Bronx,46389,9602
1400000US36005018302,"Census Tract 183.02, Bronx County, New York",Bronx,68627,14227
1400000US36005018400,"Census Tract 184, Bronx County, New York",Bronx,92273,30241
1400000US36005018501,"Census Tract 185.01, Bronx County, New York",Bronx,49444,23662
1400000US36005018502,"Census Tract 185.02, Bronx County, New York",Bronx,28963,9300
1400000US36005018900,"Census Tract 189, Bronx County, New York",Bronx,54056,9014
1400000US36005019300,"Census Tract 193, Bronx County, New York",Bronx,46794,16310
1400000US36005019400,"Census Tract 194, Bronx County, New York",Bronx,100950,14442
1400000US36005019500,"Census Tract 195, Bronx County, New York",Bronx,45661,12286
1400000US36005019700,"Census Tract 197, Bronx County, New York",Bronx,25439,10377
1400000US36005019900,"Census Tract 199, Bronx County, New York",Bronx,34311,15661
1400000US36005020000,"Census Tract 200, Bronx County, New York",Bronx,46622,5815
1400000US36005020100,"Census Tract 201, Bronx County, New York",Bronx,32692,7401
1400000US36005020200,"Census Tract 202, Bronx County, New York",Bronx,53491,8069
1400000US36005020400,"Census Tract 204, Bronx County, New York",Bronx,55947,13083
1400000US36005020501,"Census Tract 205.01, Bronx County, New York",Bronx,27349,21168
1400000US36005020502,"Census Tract 205.02, Bronx County, New York",Bronx,39688,14556
1400000US36005020601,"Census Tract 206.01, Bronx County, New York",Bronx,86701,34172
1400000US36005020900,"Census Tract 209, Bronx County, New York",Bronx,38333,11833
1400000US36005021001,"Census Tract 210.01, Bronx County, New York",Bronx,52629,20965
1400000US36005021002,"Census Tract 210.02, Bronx County, New York",Bronx,73188,24694
1400000US36005021100,"Census Tract 211, Bronx County, New York",Bronx,52128,13508
1400000US36005021200,"Census Tract 212, Bronx County, New York",Bronx,68926,30784
1400000US36005021301,"Census Tract 213.01, Bronx County, New York",Bronx,37171,22538
1400000US36005021302,"Census Tract 213.02, Bronx County, New York",Bronx,37049,7284
1400000US36005021501,"Census Tract 215.01, Bronx County, New York",Bronx,37171,9289
1400000US36005021502,"Census Tract 215.02, Bronx County, New York",Bronx,20415,11310
1400000US36005021601,"Census Tract 216.01, Bronx County, New York",Bronx,33990,11900
1400000US36005021602,"Census Tract 216.02, Bronx County, New York",Bronx,58569,5322
1400000US36005021700,"Census Tract 217, Bronx County, New York",Bronx,36195,8977
1400000US36005021800,"Census Tract 218, Bronx County, New York",Bronx,60108,22550
1400000US36005021900,"Census Tract 219, Bronx County, New York",Bronx,48444,15844
1400000US36005022000,"Census Tract 220, Bronx County, New York",Bronx,23910,17288
1400000US36005022101,"Census Tract 221.01, Bronx County, New York",Bronx,52176,13475
1400000US36005022102,"Census Tract 221.02, Bronx County, New York",Bronx,33614,9812
1400000US36005022200,"Census Tract 222, Bronx County, New York",Bronx,48110,11457
1400000US36005022300,"Census Tract 223, Bronx County, New York",Bronx,45257,14165
1400000US36005022401,"Census Tract 224.01, Bronx County, New York",Bronx,53398,10458
1400000US36005022403,"Census Tract 224.03, Bronx County, New York",Bronx,72143,21255
1400000US36005022404,"Census Tract 224.04, Bronx County, New York",Bronx,61760,13225
1400000US36005022500,"Census Tract 225, Bronx County, New York",Bronx,50243,11939
1400000US36005022701,"Census Tract 227.01, Bronx County, New York",Bronx,37828,10254
1400000US36005022702,"Census Tract 227.02, Bronx County, New York",Bronx,34145,15960
1400000US36005022703,"Census Tract 227.03, Bronx County, New York",Bronx,60694,29032
1400000US36005022800,"Census Tract 228, Bronx County, New York",Bronx,83859,30656
1400000US36005022901,"Census Tract 229.01, Bronx County, New York",Bronx,52222,19295
1400000US36005022902,"Census Tract 229.02, Bronx County, New York",Bronx,47833,14401
1400000US36005023000,"Census Tract 230, Bronx County, New York",Bronx,53826,12623
1400000US36005023100,"Census Tract 231, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005023200,"Census Tract 232, Bronx County, New York",Bronx,50893,21691
1400000US36005023301,"Census Tract 233.01, Bronx County, New York",Bronx,37936,15651
1400000US36005023302,"Census Tract 233.02, Bronx County, New York",Bronx,69030,27225
