geoid,tract_name,borough,B25077_E001,B25077_M001
1400000US36005000100,"Census Tract 1, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005000200,"Census Tract 2, Bronx County, New York",Bronx,626400,61172
1400000US36005000400,"Census Tract 4, Bronx County, New York",Bronx,558000,118779
1400000US36005001600,"Census Tract 16, Bronx County, New York",Bronx,709300,138431
1400000US36005001901,"Census Tract 19.01, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005001902,"Census Tract 19.02, Bronx County, New York",Bronx,595000,210978
1400000US36005001903,"Census Tract 19.03, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005001904,"Census Tract 19.04, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005002001,"Census Tract 20.01, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005002002,"Census Tract 20.02, Bronx County, New York",Bronx,635400,33242
1400000US36005002300,"Census Tract 23, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005002400,"Census Tract 24, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005002500,"Census Tract 25, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005002701,"Census Tract 27.01, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005002702,"Census Tract 27.02, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005002800,"Census Tract 28, Bronx County, New York",Bronx,320500,72340
1400000US36005003100,"Census Tract 31, Bronx County, New York",Bronx,54600,51543
1400000US36005003300,"Census Tract 33, Bronx County, New York",Bronx,746400,125354
1400000US36005003500,"Census Tract 35, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005003700,"Census Tract 37, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005003800,"Census Tract 38, Bronx County, New York",Bronx,665000,46627
1400000US36005003900,"Census Tract 39, Bronx County, New York",Bronx,1285900,724043
1400000US36005004001,"Census Tract 40.01, Bronx County, New York",Bronx,603800,39870
1400000US36005004100,"Census Tract 41, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005004200,"Census Tract 42, Bronx County, New York",Bronx,362500,27621
1400000US36005004300,"Census Tract 43, Bronx County, New York",Bronx,744800,150934
1400000US36005004400,"Census Tract 44, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005004600,"Census Tract 46, Bronx County, New York",Bronx,129500,113053
1400000US36005004800,"Census Tract 48, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005005001,"Census Tract 50.01, Bronx County, New York",Bronx,865000,459006
1400000US36005005002,"Census Tract 50.02, Bronx County, New York",Bronx,523400,274082
1400000US36005005100,"Census Tract 51, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005005200,"Census Tract 52, Bronx County, New York",Bronx,616200,22656
1400000US36005005300,"Census Tract 53, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005005400,"Census Tract 54, Bronx County, New York",Bronx,647400,47935
1400000US36005005600,"Census Tract 56, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005005902,"Census Tract 59.02, Bronx County, New York",Bronx,317700,48102
1400000US36005006000,"Census Tract 60, Bronx County, New York",Bronx,683300,208127
1400000US36005006100,"Census Tract 61, Bronx County, New York",Bronx,31300,6245
1400000US36005006200,"Census Tract 62, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005006301,"Census Tract 63.01, Bronx County, New York",Bronx,334100,75734
1400000US36005006302,"Census Tract 63.02, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005006400,"Census Tract 64, Bronx County, New York",Bronx,552200,538865
1400000US36005006500,"Census Tract 65, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005006700,"Census Tract 67, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005006800,"Census Tract 68, Bronx County, New York",Bronx,747800,246727
1400000US36005006900,"Census Tract 69, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005007000,"Census Tract 70, Bronx County, New York",Bronx,625000,330394
1400000US36005007100,"Census Tract 71, Bronx County, New York",Bronx,294500,26755
1400000US36005007200,"Census Tract 72, Bronx County, New York",Bronx,707300,88688
1400000US36005007300,"Census Tract 73, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005007400,"Census Tract 74, Bronx County, New York",Bronx,526300,153717
1400000US36005007500,"Census Tract 75, Bronx County, New York",Bronx,563600,101558
1400000US36005007600,"Census Tract 76, Bronx County, New York",Bronx,805800,88629
1400000US36005007700,"Census Tract 77, Bronx County, New York",Bronx,711500,531607
1400000US36005007800,"Census Tract 78, Bronx County, New York",Bronx,471600,213984
1400000US36005007900,"Census Tract 79, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005008300,"Census Tract 83, Bronx County, New York",Bronx,320800,167486
1400000US36005008400,"Census Tract 84, Bronx County, New York",Bronx,626900,25682
1400000US36005008500,"Census Tract 85, Bronx County, New York",Bronx,570300,399951
1400000US36005008600,"Census Tract 86, Bronx County, New York",Bronx,621000,70835
1400000US36005008700,"Census Tract 87, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005008900,"Census Tract 89, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005009000,"Census Tract 90, Bronx County, New York",Bronx,489600,135461
1400000US36005009200,"Census Tract 92, Bronx County, New York",Bronx,637900,84462
1400000US36005009301,"Census Tract 93.01, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005009302,"Census Tract 93.02, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005009600,"Census Tract 96, Bronx County, New York",Bronx,592300,50064
1400000US36005009800,"Census Tract 98, Bronx County, New York",Bronx,569300,40898
1400000US36005011000,"Census Tract 110, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005011502,"Census Tract 115.02, Bronx County, New York",Bronx,635400,349448
1400000US36005011701,"Census Tract 117.01, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005011702,"Census Tract 117.02, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005011800,"Census Tract 118, Bronx County, New York",Bronx,518700,56964
1400000US36005011900,"Census Tract 119, Bronx County, New York",Bronx,597700,83812
1400000US36005012101,"Census Tract 121.01, Bronx County, New York",Bronx,664800,316189
1400000US36005012102,"Census Tract 121.02, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005012300,"Census Tract 123, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005012500,"Census Tract 125, Bronx County, New York",Bronx,637000,92076
1400000US36005012701,"Census Tract 127.01, Bronx County, New York",Bronx,104200,60212
1400000US36005012901,"Census Tract 129.01, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005013000,"Census Tract 130, Bronx County, New York",Bronx,705700,100525
1400000US36005013100,"Census Tract 131, Bronx County, New York",Bronx,683800,262871
1400000US36005013200,"Census Tract 132, Bronx County, New York",Bronx,607000,50994
1400000US36005013300,"Census Tract 133, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005013500,"Census Tract 135, Bronx County, New York",Bronx,625000,325122
1400000US36005013800,"Census Tract 138, Bronx County, New York",Bronx,423500,34651
1400000US36005014100,"Census Tract 141, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005014300,"Census Tract 143, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005014400,"Census Tract 144, Bronx County, New York",Bronx,599900,41998
1400000US36005014500,"Census Tract 145, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005014701,"Census Tract 147.01, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005014702,"Census Tract 147.02, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005014900,"Census Tract 149, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005015100,"Census Tract 151, Bronx County, New York",Bronx,752300,185644
1400000US36005015200,"Census Tract 152, Bronx County, New York",Bronx,669200,57351
1400000US36005015300,"Census Tract 153, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005015500,"Census Tract 155, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005015700,"Census Tract 157, Bronx County, New York",Bronx,622400,207813
1400000US36005015800,"Census Tract 158, Bronx County, New York",Bronx,746700,89013
1400000US36005015900,"Census Tract 159, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005016000,"Census Tract 160, Bronx County, New York",Bronx,602500,23653
1400000US36005016100,"Census Tract 161, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005016200,"Census Tract 162, Bronx County, New York",Bronx,704900,65052
1400000US36005016300,"Census Tract 163, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005016400,"Census Tract 164, Bronx County, New York",Bronx,686400,68160
1400000US36005016500,"Census Tract 165, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005016600,"Census Tract 166, Bronx County, New York",Bronx,652000,37885
1400000US36005016700,"Census Tract 167, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005016900,"Census Tract 169, Bronx County, New York",Bronx,716200,137061
1400000US36005017100,"Census Tract 171, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005017300,"Census Tract 173, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005017500,"Census Tract 175, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005017701,"Census Tract 177.01, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005017702,"Census Tract 177.02, Bronx County, New York",Bronx,904300,366346
1400000US36005017901,"Census Tract 179.01, Bronx County, New York",Bronx,230000,9553
1400000US36005017902,"Census Tract 179.02, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005018101,"Census Tract 181.01, Bronx County, New York",Bronx,1020400,191947
1400000US36005018102,"Census Tract 181.02, Bronx County, New York",Bronx,331700,318399
1400000US36005018301,"Census Tract 183.01, Bronx County, New York",Bronx,324400,50246
1400000US36005018302,"Census Tract 183.02, Bronx County, New York",Bronx,252600,182014
1400000US36005018400,"Census Tract 184, Bronx County, New York",Bronx,649200,45375
1400000US36005018501,"Census Tract 185.01, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005018502,"Census Tract 185.02, Bronx County, New York",Bronx,574500,528410
1400000US36005018900,"Census Tract 189, Bronx County, New York",Bronx,182900,102537
1400000US36005019300,"Census Tract 193, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005019400,"Census Tract 194, Bronx County, New York",Bronx,645200,21498
1400000US36005019500,"Census Tract 195, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005019700,"Census Tract 197, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005019900,"Census Tract 199, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005020000,"Census Tract 200, Bronx County, New York",Bronx,664600,286511
1400000US36005020100,"Census Tract 201, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005020200,"Census Tract 202, Bronx County, New York",Bronx,753000,359198
1400000US36005020400,"Census Tract 204, Bronx County, New York",Bronx,727800,146582
1400000US36005020501,"Census Tract 205.01, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005020502,"Census Tract 205.02, Bronx County, New York",Bronx,467900,415337
1400000US36005020601,"Census Tract 206.01, Bronx County, New York",Bronx,812100,119347
1400000US36005020900,"Census Tract 209, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005021001,"Census Tract 210.01, Bronx County, New York",Bronx,238100,45206
1400000US36005021002,"Census Tract 210.02, Bronx County, New York",Bronx,261500,28326
1400000US36005021100,"Census Tract 211, Bronx County, New York",Bronx,799200,148446
1400000US36005021200,"Census Tract 212, Bronx County, New York",Bronx,319000,69701
1400000US36005021301,"Census Tract 213.01, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005021302,"Census Tract 213.02, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005021501,"Census Tract 215.01, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005021502,"Census Tract 215.02, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005021601,"Census Tract 216.01, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005021602,"Census Tract 216.02, Bronx County, New York",Bronx,224300,88703
1400000US36005021700,"Census Tract 217, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005021800,"Census Tract 218, Bronx County, New York",Bronx,754100,129912
1400000US36005021900,"Census Tract 219, Bronx County, New York",Bronx,-666666666,-222222222
1400000US36005022000,"Census Tract 220, Bronx County, New York",Bronx,659100,73583
