geoid,tract_name,borough,B05002_E001,B05002_M001,B05002_E002,B05002_M002,B05002_E003,B05002_M003,B05002_E004,B05002_M004,B05002_E005,B05002_M005,B05002_E006,B05002_M006,B05002_E007,B05002_M007,B05002_E008,B05002_M008,B05002_E009,B05002_M009,B05002_E010,B05002_M010,B05002_E011,B05002_M011,B05002_E012,B05002_M012,B05002_E013,B05002_M013,B05002_E014,B05002_M014,B05002_E015,B05002_M015,B05002_E016,B05002_M016,B05002_E017,B05002_M017,B05002_E018,B05002_M018,B05002_E019,B05002_M019,B05002_E020,B05002_M020,B05002_E021,B05002_M021,B05002_E022,B05002_M022,B05002_E023,B05002_M023,B05002_E024,B05002_M024,B05002_E025,B05002_M025,B05002_E026,B05002_M026,B05002_E027,B05002_M027
1400000US36005014500,"Census Tract 145, Bronx County, New York",Bronx,6899,1481,5682,1457,5107,1379,354,266,31,49,7,17,316,256,0,19,221,115,123,84,7,17,91,82,1217,462,862,354,25,43,30,48,345,256,0,19,462,205,0,19,355,220,0,19,0,19,91,137,0,19,264,212,0,19
1400000US36005014701,"Census Tract 147.01, Bronx County, New York",Bronx,6094,1538,4989,1359,4470,1403,275,178,0,19,19,46,256,171,0,19,244,185,185,156,0,19,59,93,1105,389,797,334,0,19,0,19,0,19,0,19,797,334,0,19,308,262,0,19,0,19,26,117,0,19,282,237,0,19
1400000US36005014702,"Census Tract 147.02, Bronx County, New York",Bronx,4950,958,3756,879,2977,833,206,155,75,85,13,45,118,107,0,14,573,409,421,397,0,14,152,111,1194,324,646,215,40,46,0,14,188,90,0,14,418,166,0,14,548,227,0,14,0,14,167,190,0,14,381,206,0,14
1400000US36005014900,"Census Tract 149, Bronx County, New York",Bronx,4714,1212,3574,1040,2854,941,300,123,105,84,16,25,151,101,28,38,420,242,121,103,0,14,299,252,1140,431,624,365,0,14,0,14,173,171,0,14,451,262,0,14,516,332,23,50,0,14,237,247,0,14,256,189,0,14
1400000US36005015100,"Census Tract 151, Bronx County, New York",Bronx,5216,1010,3561,784,2591,755,616,433,55,68,92,142,469,412,0,19,354,251,188,134,0,19,166,166,1655,677,685,238,0,19,54,77,257,170,0,19,374,228,0,19,970,582,0,19,61,88,198,141,0,19,711,603,0,19
1400000US36005015200,"Census Tract 152, Bronx County, New York",Bronx,2562,467,2038,399,1583,312,119,129,0,14,17,27,102,122,0,14,336,150,216,132,0,14,120,101,524,222,307,124,59,60,12,15,26,26,0,14,210,106,0,14,217,176,10,15,0,14,20,22,0,14,187,174,0,14
1400000US36005015300,"Census Tract 153, Bronx County, New York",Bronx,3603,710,2795,640,2182,684,357,273,222,229,10,17,125,104,0,14,256,171,163,124,18,29,75,117,808,334,532,257,0,14,0,14,43,65,0,14,489,243,0,14,276,190,7,16,0,14,83,99,0,14,186,164,0,14
1400000US36005015500,"Census Tract 155, Bronx County, New York",Bronx,3016,639,2021,549,1673,555,124,79,65,72,3,8,54,57,2,9,224,106,193,109,0,14,31,37,995,354,529,192,0,14,11,19,42,68,0,14,476,187,0,14,466,262,0,14,0,14,3,11,0,14,463,261,0,14
1400000US36005015700,"Census Tract 157, Bronx County, New York",Bronx,6152,968,3157,600,2473,528,379,295,38,54,0,19,326,255,15,24,305,119,141,87,21,40,143,88,2995,850,1369,564,0,19,287,376,257,211,0,19,825,272,0,19,1626,603,93,113,81,117,372,302,0,19,1080,455,0,19
1400000US36005015800,"Census Tract 158, Bronx County, New York",Bronx,1490,289,1161,201,1008,177,6,10,6,10,0,14,0,14,0,14,147,72,115,60,0,14,32,41,329,167,189,54,36,31,47,45,35,29,0,14,71,56,0,14,140,143,0,14,17,20,15,30,0,14,108,136,0,14
