geoid,tract_name,borough,B15003_E001,B15003_M001,B15003_E002,B15003_M002,B15003_E003,B15003_M003,B15003_E004,B15003_M004,B15003_E005,B15003_M005,B15003_E006,B15003_M006,B15003_E007,B15003_M007,B15003_E008,B15003_M008,B15003_E009,B15003_M009,B15003_E010,B15003_M010,B15003_E011,B15003_M011,B15003_E012,B15003_M012,B15003_E013,B15003_M013,B15003_E014,B15003_M014,B15003_E015,B15003_M015,B15003_E016,B15003_M016,B15003_E017,B15003_M017,B15003_E018,B15003_M018,B15003_E019,B15003_M019,B15003_E020,B15003_M020,B15003_E021,B15003_M021,B15003_E022,B15003_M022,B15003_E023,B15003_M023,B15003_E024,B15003_M024,B15003_E025,B15003_M025
1400000US36005043102,"Census Tract 431.02, Bronx County, New York",Bronx,2977,393,241,196,0,14,0,14,24,37,0,14,20,18,5,10,24,29,48,54,30,33,52,41,109,140,61,68,68,88,149,129,650,152,353,243,59,57,419,214,186,105,303,120,78,54,98,110,0,14
1400000US36005043400,"Census Tract 434, Bronx County, New York",Bronx,3057,498,63,73,0,14,0,14,0,14,0,14,0,14,0,14,50,43,12,18,0,14,10,40,0,14,22,64,10,55,172,111,852,272,241,162,149,101,465,205,206,116,500,274,290,126,15,27,0,14
1400000US36005043501,"Census Tract 435.01, Bronx County, New York",Bronx,589,79,29,29,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,4,8,15,12,5,10,0,14,50,51,64,52,74,55,55,36,7,11,63,39,42,40,138,70,43,29,0,14,0,14
1400000US36005043502,"Census Tract 435.02, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005043503,"Census Tract 435.03, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005043600,"Census Tract 436, Bronx County, New York",Bronx,1576,224,69,43,0,14,0,14,0,14,0,14,19,23,0,14,8,12,8,17,0,14,5,10,10,16,84,47,84,82,37,29,399,129,122,80,41,41,237,111,169,89,213,100,60,45,0,14,11,20
1400000US36005044200,"Census Tract 442, Bronx County, New York",Bronx,2669,882,160,105,0,14,0,14,0,14,0,14,0,14,0,14,1,3,0,14,0,14,135,158,0,14,0,14,26,50,360,325,983,608,117,95,24,37,362,196,81,63,196,118,224,128,0,14,0,14
1400000US36005044400,"Census Tract 444, Bronx County, New York",Bronx,3319,593,13,21,0,14,0,14,0,14,0,14,0,14,0,14,28,47,0,14,22,49,0,14,136,208,0,14,0,14,71,94,546,210,123,89,190,120,371,253,285,133,875,360,609,309,0,14,50,75
1400000US36005044800,"Census Tract 448, Bronx County, New York",Bronx,1619,319,28,35,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,18,29,0,14,11,21,445,204,144,133,168,91,154,65,128,136,417,217,106,73,0,14,0,14
1400000US36005044901,"Census Tract 449.01, Bronx County, New York",Bronx,1548,245,19,24,0,14,0,14,0,14,0,14,0,14,0,14,2,5,0,14,0,14,0,14,13,19,0,14,0,14,12,16,362,156,69,41,33,31,174,94,53,58,525,151,254,94,32,28,0,14
