geoid,tract_name,borough,B03002_E001,B03002_M001,B03002_E002,B03002_M002,B03002_E003,B03002_M003,B03002_E004,B03002_M004,B03002_E005,B03002_M005,B03002_E006,B03002_M006,B03002_E007,B03002_M007,B03002_E008,B03002_M008,B03002_E009,B03002_M009,B03002_E010,B03002_M010,B03002_E011,B03002_M011,B03002_E012,B03002_M012,B03002_E013,B03002_M013,B03002_E014,B03002_M014,B03002_E015,B03002_M015,B03002_E016,B03002_M016,B03002_E017,B03002_M017,B03002_E018,B03002_M018,B03002_E019,B03002_M019,B03002_E020,B03002_M020,B03002_E021,B03002_M021
1400000US36005000100,"Census Tract 1, Bronx County, New York",Bronx,2950,1354,2320,1255,924,820,1281,481,9,16,13,21,0,14,23,30,70,248,0,14,70,248,630,214,65,70,37,73,0,14,0,14,0,14,311,188,217,127,217,127,0,14
1400000US36005000200,"Census Tract 2, Bronx County, New York",Bronx,5061,683,1995,543,70,94,1491,482,0,19,362,379,0,19,19,36,53,89,27,45,26,44,3066,607,542,354,194,218,0,19,24,37,0,19,1769,634,537,298,390,261,147,143
1400000US36005000400,"Census Tract 4, Bronx County, New York",Bronx,6649,974,2384,620,111,78,2056,603,0,19,123,114,0,19,42,64,52,66,15,23,37,59,4265,788,32,47,326,316,0,19,0,19,0,19,2564,1105,1343,694,1321,690,22,41
1400000US36005001600,"Census Tract 16, Bronx County, New York",Bronx,5611,602,2398,689,75,53,1887,612,128,115,254,234,0,19,6,10,48,48,25,38,23,33,3213,614,80,79,407,509,32,50,0,19,0,19,1853,550,841,353,629,311,212,222
1400000US36005001901,"Census Tract 19.01, Bronx County, New York",Bronx,2260,308,1285,365,181,83,945,392,33,46,69,84,0,14,0,14,57,39,28,28,29,31,975,203,67,62,255,191,79,112,0,14,0,14,476,171,98,76,35,41,63,62
1400000US36005001902,"Census Tract 19.02, Bronx County, New York",Bronx,2079,359,1020,197,61,46,367,113,0,14,0,14,502,176,0,14,90,62,10,16,80,59,1059,355,28,41,39,46,18,27,27,41,0,14,583,325,364,149,302,131,62,63
1400000US36005001903,"Census Tract 19.03, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005001904,"Census Tract 19.04, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005002001,"Census Tract 20.01, Bronx County, New York",Bronx,4199,805,1626,422,21,47,1317,402,0,14,0,14,0,14,115,143,173,153,100,147,73,79,2573,710,429,342,175,207,62,60,0,14,0,14,1563,715,344,227,344,227,0,14
1400000US36005002002,"Census Tract 20.02, Bronx County, New York",Bronx,3609,807,806,474,30,49,662,465,0,14,98,173,0,14,0,14,16,26,16,26,0,14,2803,860,460,457,243,247,0,14,0,14,0,14,1529,416,571,665,112,126,459,655
1400000US36005002300,"Census Tract 23, Bronx County, New York",Bronx,4567,632,1628,464,8,11,1494,433,0,14,0,14,0,14,97,142,29,39,13,24,16,30,2939,544,303,189,182,159,136,233,0,14,0,14,1665,640,653,345,566,332,87,111
1400000US36005002400,"Census Tract 24, Bronx County, New York",Bronx,105,9,90,30,0,14,79,37,0,14,0,14,0,14,0,14,11,26,0,14,11,26,15,28,0,14,0,14,0,14,0,14,0,14,15,28,0,14,0,14,0,14
1400000US36005002500,"Census Tract 25, Bronx County, New York",Bronx,5117,609,1106,454,152,144,845,417,0,19,0,19,0,19,45,70,64,105,0,19,64,105,4011,590,90,79,236,170,247,299,0,19,0,19,2514,540,924,476,523,309,401,302
1400000US36005002701,"Census Tract 27.01, Bronx County, New York",Bronx,3111,536,662,318,26,28,600,324,0,14,36,35,0,14,0,14,0,14,0,14,0,14,2449,567,69,71,129,134,0,14,0,14,0,14,1436,471,815,635,815,635,0,14
1400000US36005002702,"Census Tract 27.02, Bronx County, New York",Bronx,4798,604,1309,477,8,17,1184,478,0,14,33,51,0,14,21,35,63,70,39,60,24,36,3489,503,147,113,252,182,60,99,0,14,0,14,2316,528,714,407,674,407,40,64
1400000US36005002800,"Census Tract 28, Bronx County, New York",Bronx,5462,809,2987,723,14,24,2973,719,0,19,0,19,0,19,0,19,0,19,0,19,0,19,2475,918,476,321,250,267,114,167,0,19,0,19,1334,820,301,181,218,173,83,124
1400000US36005003100,"Census Tract 31, Bronx County, New York",Bronx,2788,466,1022,368,28,37,827,435,0,14,150,124,0,14,0,14,17,25,0,14,17,25,1766,389,783,248,217,151,12,21,178,277,0,14,364,193,212,167,190,164,22,32
1400000US36005003300,"Census Tract 33, Bronx County, New York",Bronx,3577,759,1116,628,68,70,1048,635,0,14,0,14,0,14,0,14,0,14,0,14,0,14,2461,607,16,83,100,97,152,235,0,14,0,14,1458,502,735,548,452,278,283,300
1400000US36005003500,"Census Tract 35, Bronx County, New York",Bronx,3481,794,1065,340,123,73,684,316,0,14,92,128,0,14,0,14,166,159,0,14,166,159,2416,837,96,72,742,822,24,38,0,14,0,14,961,382,593,308,385,266,208,163
1400000US36005003700,"Census Tract 37, Bronx County, New York",Bronx,418,222,91,62,26,24,65,54,0,14,0,14,0,14,0,14,0,14,0,14,0,14,327,196,9,13,108,104,0,14,0,14,0,14,60,73,150,144,150,144,0,14
1400000US36005003800,"Census Tract 38, Bronx County, New York",Bronx,1250,322,235,133,5,24,141,98,0,14,89,78,0,14,0,14,0,14,0,14,0,14,1015,370,190,134,10,17,0,14,0,14,0,14,695,411,120,80,120,80,0,14
1400000US36005003900,"Census Tract 39, Bronx County, New York",Bronx,5581,930,804,382,313,232,154,134,66,156,16,23,0,19,0,19,255,277,218,271,37,63,4777,850,109,180,71,94,495,576,33,96,16,48,3271,933,782,467,782,467,0,19
1400000US36005004001,"Census Tract 40.01, Bronx County, New York",Bronx,1294,243,702,191,11,11,185,96,0,14,445,190,0,14,15,13,46,45,26,37,20,29,592,230,64,68,5,7,0,14,0,14,0,14,431,226,92,78,92,78,0,14
1400000US36005004100,"Census Tract 41, Bronx County, New York",Bronx,6162,1109,1914,541,89,102,1382,663,0,19,58,90,0,19,300,465,85,135,0,19,85,135,4248,1078,196,152,694,897,0,19,0,19,0,19,2514,767,844,648,742,644,102,124
1400000US36005004200,"Census Tract 42, Bronx County, New York",Bronx,7755,881,2547,740,23,38,2438,744,0,19,27,38,0,19,0,19,59,89,59,89,0,19,5208,971,1329,848,1115,810,159,187,0,19,0,19,1873,773,732,425,506,374,226,246
1400000US36005004300,"Census Tract 43, Bronx County, New York",Bronx,5400,659,1762,508,7,18,1527,497,9,21,0,19,0,19,109,102,110,130,0,19,110,130,3638,784,671,431,217,192,228,482,0,19,0,19,1514,618,1008,482,750,376,258,250
1400000US36005004400,"Census Tract 44, Bronx County, New York",Bronx,4303,572,1573,436,55,33,1301,362,0,14,130,183,0,14,73,117,14,21,0,14,14,21,2730,619,561,373,231,161,11,17,0,14,0,14,1290,467,637,358,472,360,165,189
1400000US36005004600,"Census Tract 46, Bronx County, New York",Bronx,1478,314,518,151,32,48,458,152,0,14,0,14,0,14,0,14,28,26,15,18,13,18,960,295,113,93,79,69,0,14,0,14,0,14,291,151,477,304,408,287,69,97
1400000US36005004800,"Census Tract 48, Bronx County, New York",Bronx,4204,644,785,447,73,48,651,450,0,14,36,44,0,14,14,30,11,18,0,14,11,18,3419,466,268,208,127,148,19,29,0,14,0,14,2560,587,445,252,433,252,12,20
1400000US36005005001,"Census Tract 50.01, Bronx County, New York",Bronx,4878,681,1584,437,44,51,1452,448,0,14,71,84,0,14,17,25,0,14,0,14,0,14,3294,534,47,54,100,93,251,316,0,14,0,14,2475,621,421,217,397,208,24,39
1400000US36005005002,"Census Tract 50.02, Bronx County, New York",Bronx,6275,1225,1784,932,32,35,1478,929,0,19,0,19,41,94,99,147,134,128,24,36,110,124,4491,797,86,77,120,101,219,289,0,19,0,19,3483,870,583,320,563,315,20,26
1400000US36005005100,"Census Tract 51, Bronx County, New York",Bronx,7261,953,2871,768,62,67,2539,703,0,19,88,103,0,19,0,19,182,182,30,52,152,171,4390,850,544,755,1241,694,0,19,0,19,0,19,1685,597,920,603,845,589,75,88
1400000US36005005200,"Census Tract 52, Bronx County, New York",Bronx,1837,289,532,249,0,14,485,259,0,14,0,14,0,14,38,50,9,13,9,13,0,14,1305,310,164,104,67,77,55,85,0,14,0,14,830,270,189,127,162,119,27,39
1400000US36005005300,"Census Tract 53, Bronx County, New York",Bronx,4065,858,2532,742,93,151,2243,718,0,14,0,14,0,14,77,116,119,150,0,14,119,150,1533,562,129,115,116,116,0,14,0,14,0,14,1141,570,147,141,126,137,21,31
1400000US36005005400,"Census Tract 54, Bronx County, New York",Bronx,5482,911,1675,557,15,18,1315,558,0,19,0,19,0,19,90,83,255,178,156,148,99,92,3807,906,45,58,317,246,224,270,0,19,0,19,2504,742,717,506,717,506,0,19
1400000US36005005600,"Census Tract 56, Bronx County, New York",Bronx,2501,490,675,340,25,28,340,222,15,25,77,150,0,14,82,66,136,194,19,28,117,192,1826,382,0,14,70,70,11,19,0,14,0,14,1526,417,219,179,219,179,0,14
1400000US36005005902,"Census Tract 59.02, Bronx County, New York",Bronx,3019,478,1453,375,751,284,666,372,0,14,19,43,0,14,0,14,17,28,0,14,17,28,1566,385,32,49,77,81,0,14,0,14,0,14,622,272,835,332,718,341,117,41
1400000US36005006000,"Census Tract 60, Bronx County, New York",Bronx,1280,344,207,134,12,18,187,136,4,6,0,14,0,14,0,14,4,6,0,14,4,6,1073,388,11,13,49,46,2,3,0,14,0,14,513,336,498,237,320,132,178,143
1400000US36005006100,"Census Tract 61, Bronx County, New York",Bronx,3369,677,2831,689,47,66,2599,684,0,14,30,47,0,14,65,82,90,75,16,25,74,71,538,149,49,61,112,100,18,31,0,14,0,14,222,152,137,112,114,106,23,35
1400000US36005006200,"Census Tract 62, Bronx County, New York",Bronx,6363,1077,2028,558,61,79,1900,571,45,71,22,41,0,19,0,19,0,19,0,19,0,19,4335,989,173,151,578,521,0,19,0,19,0,19,2814,916,770,552,770,552,0,19
1400000US36005006301,"Census Tract 63.01, Bronx County, New York",Bronx,7053,1061,3500,893,988,553,2308,627,0,19,67,84,0,19,55,88,82,107,0,19,82,107,3553,1201,141,134,623,366,0,19,0,19,0,19,2286,1158,503,336,351,264,152,216
1400000US36005006302,"Census Tract 63.02, Bronx County, New York",Bronx,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14,0,14
1400000US36005006400,"Census Tract 64, Bronx County, New York",Bronx,4194,609,1753,495,412,207,1041,421,0,14,78,83,0,14,0,14,222,178,219,175,3,7,2441,642,78,73,54,67,0,14,0,14,0,14,1939,615,370,339,355,337,15,21
1400000US36005006500,"Census Tract 65, Bronx County, New York",Bronx,5024,1013,2400,652,297,200,2032,632,0,19,69,101,2,5,0,19,0,19,0,19,0,19,2624,891,925,834,55,78,0,19,0,19,0,19,1481,458,163,134,123,118,40,62
1400000US36005006700,"Census Tract 67, Bronx County, New York",Bronx,7664,2163,1437,383,48,54,1352,379,0,19,37,60,0,19,0,19,0,19,0,19,0,19,6227,2213,155,183,569,506,0,19,0,19,286,442,1954,1204,3263,2328,3163,2314,100,125
1400000US36005006800,"Census Tract 68, Bronx County, New York",Bronx,2542,572,947,394,0,14,368,128,0,14,323,258,0,14,203,249,53,76,0,14,53,76,1595,478,313,261,0,14,0,14,49,73,0,14,1165,481,68,61,33,37,35,49
1400000US36005006900,"Census Tract 69, Bronx County, New York",Bronx,6077,958,1729,495,15,27,1658,497,0,19,52,65,0,19,0,19,4,13,0,19,4,13,4348,1039,649,597,406,339,40,63,0,19,0,19,2446,719,807,710,464,575,343,467
1400000US36005007000,"Census Tract 70, Bronx County, New York",Bronx,4408,599,2388,630,235,191,879,406,0,14,784,401,0,14,456,358,34,41,20,34,14,23,2020,421,223,221,115,97,0,14,0,14,0,14,1266,448,416,233,292,188,124,162
1400000US36005007100,"Census Tract 71, Bronx County, New York",Bronx,2805,430,1029,398,25,28,775,390,0,14,82,67,0,14,0,14,147,148,0,14,147,148,1776,441,165,120,287,313,0,14,0,14,0,14,888,337,436,278,436,278,0,14
1400000US36005007200,"Census Tract 72, Bronx County, New York",Bronx,4845,740,2944,585,194,182,483,342,0,14,1997,528,0,14,29,45,241,202,0,14,241,202,1901,604,116,111,62,87,59,91,0,14,9,14,1489,563,166,102,150,109,16,25
1400000US36005007300,"Census Tract 73, Bronx County, New York",Bronx,4325,703,1697,588,10,14,1569,631,0,14,36,59,0,14,28,45,54,95,0,14,54,95,2628,721,455,486,0,14,233,306,0,14,44,74,1647,561,249,240,207,227,42,69
1400000US36005007400,"Census Tract 74, Bronx County, New York",Bronx,3280,500,1582,443,67,59,1358,405,0,14,0,14,0,14,53,81,104,106,65,98,39,43,1698,432,81,57,471,214,0,14,0,14,0,14,634,335,512,362,276,258,236,255
1400000US36005007500,"Census Tract 75, Bronx County, New York",Bronx,6353,1041,1621,632,128,136,1161,621,0,19,25,36,0,19,0,19,307,225,4,16,303,224,4732,1337,414,390,650,836,33,54,35,59,0,19,1647,758,1953,940,1826,885,127,157
1400000US36005007600,"Census Tract 76, Bronx County, New York",Bronx,5252,908,2533,702,95,83,1274,411,16,25,963,597,0,19,27,40,158,139,68,92,90,102,2719,597,132,155,88,125,162,275,0,19,0,19,1939,599,398,215,308,171,90,154
1400000US36005007700,"Census Tract 77, Bronx County, New York",Bronx,1966,478,538,192,19,24,465,215,0,14,36,60,0,14,0,14,18,23,0,14,18,23,1428,537,62,95,65,104,60,55,0,14,0,14,955,539,286,148,208,126,78,125
1400000US36005007800,"Census Tract 78, Bronx County, New York",Bronx,5633,749,2199,710,311,257,937,502,0,19,102,101,0,19,680,524,169,121,0,19,169,121,3434,952,563,365,185,172,0,19,0,19,0,19,2551,723,135,216,135,216,0,19
1400000US36005007900,"Census Tract 79, Bronx County, New York",Bronx,6829,1128,1527,634,56,37,1330,652,50,81,0,19,0,19,91,147,0,19,0,19,0,19,5302,1125,41,63,764,526,249,360,0,19,34,65,1896,771,2318,952,2318,952,0,19
1400000US36005008300,"Census Tract 83, Bronx County, New York",Bronx,6287,1112,899,358,46,52,715,338,0,19,0,19,0,19,36,58,102,109,1,3,101,109,5388,1109,147,115,240,190,223,252,17,28,0,19,3862,1170,899,489,694,453,205,178
1400000US36005008400,"Census Tract 84, Bronx County, New York",Bronx,3108,714,1454,644,62,60,1064,533,0,14,265,204,0,14,25,24,38,36,0,14,38,36,1654,401,276,305,335,92,0,14,0,14,0,14,719,264,324,246,280,239,44,65
1400000US36005008500,"Census Tract 85, Bronx County, New York",Bronx,5866,643,1788,489,21,36,1396,468,5,14,180,183,0,19,128,137,58,56,0,19,58,56,4078,716,296,318,526,392,0,19,0,19,0,19,2341,627,915,420,915,420,0,19
1400000US36005008600,"Census Tract 86, Bronx County, New York",Bronx,3849,929,1683,907,3,6,1227,867,0,14,122,169,0,14,110,131,221,265,0,14,221,265,2166,527,112,140,268,263,64,105,0,14,0,14,1146,419,576,324,462,338,114,177
1400000US36005008700,"Census Tract 87, Bronx County, New York",Bronx,5914,849,1733,460,61,57,1648,474,0,19,0,19,0,19,9,21,15,22,8,16,7,14,4181,799,253,249,168,193,0,19,0,19,0,19,2477,584,1283,592,1234,588,49,77
