geoid,tract_name,borough,B08301_E001,B08301_M001,B08301_E002,B08301_M002,B08301_E003,B08301_M003,B08301_E004,B08301_M004,B08301_E005,B08301_M005,B08301_E006,B08301_M006,B08301_E007,B08301_M007,B08301_E008,B08301_M008,B08301_E009,B08301_M009,B08301_E010,B08301_M010,B08301_E011,B08301_M011,B08301_E012,B08301_M012,B08301_E013,B08301_M013,B08301_E014,B08301_M014,B08301_E015,B08301_M015,B08301_E016,B08301_M016,B08301_E017,B08301_M017,B08301_E018,B08301_M018,B08301_E019,B08301_M019,B08301_E020,B08301_M020,B08301_E021,B08301_M021
1400000US36047016300,"Census Tract 163, Kings County, New York",Brooklyn,2467,356,86,60,86,60,0,14,0,14,0,14,0,14,0,14,0,14,1089,280,49,55,1029,275,11,19,0,14,0,14,0,14,0,14,106,76,132,81,0,14,1054,225
1400000US36047016400,"Census Tract 164, Kings County, New York",Brooklyn,438,120,175,90,147,73,28,28,20,20,8,11,0,14,0,14,0,14,8,11,0,14,8,11,0,14,0,14,0,14,0,14,0,14,0,14,75,43,0,14,180,173
1400000US36047016500,"Census Tract 165, Kings County, New York",Brooklyn,3594,505,393,207,348,189,45,71,23,36,22,35,0,19,0,19,0,19,1090,285,0,19,1038,272,52,59,0,19,0,19,0,19,0,19,30,44,529,217,17,29,1535,352
1400000US36047016600,"Census Tract 166, Kings County, New York",Brooklyn,951,84,443,73,362,93,81,60,73,58,0,14,8,12,0,14,0,14,229,86,136,62,93,48,0,14,0,14,0,14,16,26,0,14,14,24,21,20,0,14,228,93
1400000US36047016700,"Census Tract 167, Kings County, New York",Brooklyn,2786,641,161,119,93,100,68,61,62,61,6,12,0,14,0,14,0,14,1101,458,55,63,1046,449,0,14,0,14,0,14,0,14,0,14,69,49,155,100,0,14,1300,354
1400000US36047016800,"Census Tract 168, Kings County, New York",Brooklyn,937,284,400,234,374,232,26,26,26,26,0,14,0,14,0,14,0,14,344,137,229,142,115,45,0,14,0,14,0,14,0,14,0,14,0,14,9,13,12,14,172,82
1400000US36047016900,"Census Tract 169, Kings County, New York",Brooklyn,2820,700,298,254,271,251,27,42,0,14,0,14,0,14,27,42,0,14,1313,337,15,27,1298,334,0,14,0,14,0,14,0,14,0,14,99,77,441,318,0,14,669,224
1400000US36047017000,"Census Tract 170, Kings County, New York",Brooklyn,1630,370,626,273,491,261,135,78,109,69,26,33,0,14,0,14,0,14,554,218,272,136,282,163,0,14,0,14,0,14,0,14,0,14,74,77,44,27,0,14,332,198
1400000US36047017100,"Census Tract 171, Kings County, New York",Brooklyn,2086,305,229,107,171,81,58,56,31,47,27,31,0,14,0,14,0,14,996,199,10,17,986,196,0,14,0,14,0,14,0,14,0,14,194,120,96,48,0,14,571,161
1400000US36047017200,"Census Tract 172, Kings County, New York",Brooklyn,1114,279,539,177,392,96,147,146,126,139,0,14,21,29,0,14,0,14,383,169,82,54,301,160,0,14,0,14,0,14,0,14,0,14,49,41,9,14,0,14,134,110
